id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
16254811,Cosy flat in beautiful area,98491067,Tasha,,Saint-Gilles,50.82915,4.35188,Entire home/apt,230,7,0,,,1,0,0,
16254940,Flat at the European District 96 m2,106286973,Simona,,Ixelles,50.84021,4.37401,Entire home/apt,70,20,16,2022-04-04,0.25,1,283,6,
16265745,Room with private bathroom in big apartment,21527720,Stefano,,Ixelles,50.82752,4.38194,Private room,35,4,39,2022-04-08,0.60,1,326,4,
16316548,Geraldine's Room,20838720,Geraldine,,Ixelles,50.81549,4.36799,Entire home/apt,85,4,5,2021-09-29,0.08,1,51,1,
16318656,Appartment for 2 persons,106794878,Hiroshi,,Uccle,50.81569,4.36546,Entire home/apt,60,3,9,2021-10-18,0.13,3,9,1,
16327482,Kind of blue,47603906,Siren,,Ixelles,50.82306,4.38335,Private room,1134,1,2,2018-01-02,0.03,1,358,0,
16331527,Bel appartement idéalement situé Sainte Catherine,7019096,Remi,,Bruxelles,50.85267,4.34679,Entire home/apt,410,3,13,2019-07-28,0.19,1,365,0,
16332439,Appartement fonctionnel Bruxelles. Prox Av Louise,26694456,Natacha,,Ixelles,50.82013,4.36713,Entire home/apt,50,3,64,2020-07-24,0.96,1,0,0,
16340091,Maison 3 chambres idéale pr 1 famille av 2 enfants,106984186,Alice,,Watermael-Boitsfort,50.79724,4.41128,Entire home/apt,95,15,7,2021-08-22,0.20,1,180,1,
16340949,Stay@Bohemian heart BxL all modern comfort,2188995,Veronica,,Saint-Gilles,50.82983,4.34607,Private room,22,30,8,2021-08-29,0.12,3,260,1,
16359477,The smart flat,107131139,Enrico,,Bruxelles,50.84561,4.34841,Entire home/apt,101,2,76,2022-06-06,1.17,1,47,18,
16361511,Beautiful Duplex in the heart of Brussels,424118065,Isabel,,Ixelles,50.83541,4.36253,Entire home/apt,65,5,148,2022-05-30,2.23,3,15,4,
16375720,"Charming quiet apt. Brussels University, EU areas",4641367,Isabelle Et Robert,,Watermael-Boitsfort,50.80873,4.40121,Entire home/apt,85,91,7,2017-04-26,0.11,1,134,0,
15048310,Pied à terre agréable,38226204,Guy,,Auderghem,50.82138,4.40615,Entire home/apt,84,2,120,2022-06-05,1.90,1,293,30,
15051830,"Flat at small ""Champs Elysées"" of Saint Josse",95125483,Christophe,,Saint-Josse-ten-Noode,50.84935,4.37839,Private room,36,1,300,2022-05-13,4.31,1,0,27,
15063516,Urban Suites Brussels EU - L1,95073827,Urban Suites,,Bruxelles,50.84745,4.38237,Entire home/apt,80,1,62,2020-10-11,0.92,7,0,0,
15063674,Urban Suites Brussels EU - L3,95073827,Urban Suites,,Bruxelles,50.84931,4.38246,Entire home/apt,76,1,21,2020-10-25,0.31,7,0,0,
15106545,Heart  EU HQ  Private Room+Bathroom+Working Space,86360419,Antonella,,Bruxelles,50.84565,4.38604,Private room,90,1,42,2022-06-05,0.60,1,359,5,
15139524,STUDIO HYPER EQUIPE +Parking sur demande,95985564,Catherine,,Saint-Gilles,50.83223,4.35691,Entire home/apt,90,1,141,2022-05-31,2.02,12,236,62,
15140487,FULLY FURNISHED FLAT +Parking sur demande,95985564,Catherine,,Saint-Gilles,50.83265,4.35568,Entire home/apt,89,1,116,2022-05-25,1.67,12,122,52,
15147016,Appartement à Saint-Gilles,96072885,Arnaud,,Saint-Gilles,50.82504,4.34943,Entire home/apt,59,4,17,2022-05-29,0.44,1,0,9,
